"Latitude","Longitude","Heading"
40.69998015,-102.20217733,269.8
40.69998015,-102.20217733,269.8
40.69998015,-102.20217733,269.8
40.69997987,-102.20218003,269.3
40.69997987,-102.20218561,268.8
40.69997960,-102.20218830,268.0
40.69997919,-102.20219496,265.7
40.69997851,-102.20220305,263.6
40.69997783,-102.20220935,262.0
40.69997769,-102.20221528,261.5
40.69997592,-102.20222536,264.2
40.69997510,-102.20222769,262.9
40.69997510,-102.20223021,263.1
40.69997524,-102.20223273,263.8
40.69997537,-102.20223867,265.6
40.69997524,-102.20224406,266.6
40.69997496,-102.20225359,269.2
40.69997496,-102.20225683,269.1
40.69997469,-102.20226313,269.0
40.69997442,-102.20226834,268.5
40.69997442,-102.20227086,268.8
40.69997401,-102.20227662,268.4
40.69997387,-102.20228273,267.2
40.69997360,-102.20229119,266.8
40.69997333,-102.20229676,266.3
40.69997292,-102.20230468,265.9
40.69997265,-102.20231007,266.0
40.69997237,-102.20231799,265.8
40.69997196,-102.20232338,265.7
40.69997115,-102.20233417,266.2
40.69997074,-102.20234245,266.3
40.69997033,-102.20235468,266.3
40.69996992,-102.20236133,266.3
40.69996978,-102.20236457,266.2
40.69996951,-102.20237302,266.2
40.69996937,-102.20237806,266.0
40.69996924,-102.20238310,265.9
40.69996883,-102.20238957,265.9
40.69996856,-102.20239677,266.0
40.69996815,-102.20240180,266.4
40.69996801,-102.20241134,267.9
40.69996801,-102.20241835,269.2
40.69996815,-102.20243148,269.9
40.69996828,-102.20244479,269.5
40.69996815,-102.20245828,269.0
40.69996815,-102.20247141,268.6
40.69996787,-102.20248454,268.7
40.69996774,-102.20249749,268.3
40.69996760,-102.20251062,268.1
40.69996706,-102.20252465,268.0
40.69996637,-102.20253796,267.1
40.69996596,-102.20255271,266.3
40.69996501,-102.20256710,265.6
40.69996392,-102.20258185,263.4
40.69996215,-102.20259696,261.3
40.69996010,-102.20261152,259.5
40.69995806,-102.20262609,259.0
40.69995601,-102.20264084,260.6
40.69995465,-102.20265595,263.1
40.69995342,-102.20267160,264.7
40.69995219,-102.20268815,265.5
40.69995151,-102.20270451,266.7
40.69995096,-102.20271962,267.4
40.69995028,-102.20273455,267.7
40.69995001,-102.20275002,268.6
40.69994987,-102.20276585,268.6
40.69994946,-102.20278132,268.7
40.69994919,-102.20279678,268.9
40.69994892,-102.20281225,269.3
40.69994892,-102.20282844,269.7
40.69994892,-102.20284517,269.7
40.69994892,-102.20286208,270.0
40.69994892,-102.20287880,270.2
40.69994878,-102.20289535,270.1
40.69994878,-102.20291226,269.9
40.69994892,-102.20292934,270.7
40.69994919,-102.20294625,270.9
40.69994946,-102.20296352,270.7
40.69994974,-102.20298043,270.5
40.69994987,-102.20299751,270.5
40.69995015,-102.20301496,270.2
40.69995001,-102.20303223,270.2
40.69995028,-102.20304967,270.2
40.69995042,-102.20306730,270.1
40.69995056,-102.20308475,269.6
40.69995028,-102.20310219,268.9
40.69995028,-102.20311946,268.9
40.69994987,-102.20313691,269.0
40.69994987,-102.20315435,269.0
40.69994946,-102.20317198,268.1
40.69994946,-102.20318961,268.1
40.69994919,-102.20320724,268.3
40.69994892,-102.20322486,268.6
40.69994878,-102.20324231,269.0
40.69994878,-102.20325976,269.2
40.69994851,-102.20327792,269.0
40.69994851,-102.20329573,269.8
40.69994851,-102.20331353,270.3
40.69994878,-102.20333170,271.2
40.69994919,-102.20334987,271.6
40.69994946,-102.20336803,271.4
40.69994987,-102.20338638,271.2
40.69995028,-102.20340419,271.2
40.69995056,-102.20342253,271.1
40.69995083,-102.20344088,270.9
40.69995069,-102.20345905,270.9
40.69995096,-102.20347703,270.6
40.69995069,-102.20349574,270.2
40.69995056,-102.20351408,269.9
40.69995042,-102.20353261,269.6
40.69995015,-102.20355114,269.6
40.69994987,-102.20356948,269.5
40.69994987,-102.20358783,269.8
40.69995001,-102.20360581,270.2
